date,n_fires,n_conflict,n_armed
2025-05-01,0,1,0
2025-05-02,0,4,4
2025-05-03,0,2,0
2025-05-04,0,1,0
2025-05-05,4,1,0
2025-05-06,24,1,1
2025-05-07,26,2,1
2025-05-08,48,5,2
2025-05-09,26,1,0
2025-05-10,39,1,1
2025-05-11,1,2,1
2025-05-12,0,2,0
2025-05-13,17,1,0
2025-05-14,10,1,1
2025-05-15,45,4,3
2025-05-16,27,3,1
2025-05-17,25,1,0
2025-05-18,25,4,1
2025-05-19,48,4,3
2025-05-20,46,5,5
2025-05-21,31,1,1
2025-05-22,25,2,2
2025-05-23,23,1,1
2025-05-24,35,3,1
2025-05-25,62,2,1
2025-05-26,18,1,1
2025-05-27,29,4,3
2025-05-28,26,2,0
2025-05-29,43,0,0
2025-05-30,56,2,1
2025-05-31,37,2,1
2025-06-01,30,0,0
2025-06-02,30,4,4
2025-06-03,25,1,1
2025-06-04,43,0,0
2025-06-05,60,2,1
2025-06-06,30,0,0
2025-06-07,29,1,0
2025-06-08,28,1,1
2025-06-09,49,1,1
2025-06-10,60,2,1
2025-06-11,9,1,1
2025-06-12,35,1,1
2025-06-13,80,6,3
