date,n_fires,n_conflict,n_armed
2025-05-01,0,1,1
2025-05-02,0,1,1
2025-05-03,0,2,0
2025-05-04,0,2,1
2025-05-05,0,3,3
2025-05-06,3,4,4
2025-05-07,4,0,0
2025-05-08,3,0,0
2025-05-09,12,0,0
2025-05-10,39,1,1
2025-05-11,7,1,0
2025-05-12,2,1,1
2025-05-13,0,3,1
2025-05-14,0,4,2
2025-05-15,0,1,0
2025-05-16,0,0,0
2025-05-17,0,3,1
2025-05-18,0,1,0
2025-05-19,7,2,0
2025-05-20,0,3,2
2025-05-21,1,0,0
2025-05-22,6,4,2
2025-05-23,0,1,0
2025-05-24,1,0,0
2025-05-25,2,1,1
2025-05-26,0,1,1
2025-05-27,3,2,1
2025-05-28,2,2,1
2025-05-29,0,1,1
2025-05-30,0,3,2
2025-05-31,1,1,1
2025-06-01,0,1,0
2025-06-02,0,0,0
2025-06-03,0,0,0
2025-06-04,0,0,0
2025-06-05,16,3,2
2025-06-06,2,0,0
2025-06-07,0,0,0
2025-06-08,2,0,0
2025-06-09,7,2,2
2025-06-10,1,2,0
2025-06-11,0,1,0
2025-06-12,0,2,1
2025-06-13,4,2,1
