series,date,discharge_m3s
euphrates_border_jarabulus,2025-01-02,680.984375
euphrates_border_jarabulus,2025-01-03,628.1328125
euphrates_border_jarabulus,2025-01-04,545.90625
euphrates_border_jarabulus,2025-01-05,461.921875
euphrates_border_jarabulus,2025-01-06,439.671875
euphrates_border_jarabulus,2025-01-07,433.03125
euphrates_border_jarabulus,2025-01-08,429.25
euphrates_border_jarabulus,2025-01-09,426.796875
euphrates_border_jarabulus,2025-01-10,424.859375
euphrates_border_jarabulus,2025-01-11,423.4375
euphrates_border_jarabulus,2025-01-12,422.421875
euphrates_border_jarabulus,2025-01-13,421.53125
euphrates_border_jarabulus,2025-01-14,421.3125
euphrates_border_jarabulus,2025-01-15,420.796875
euphrates_border_jarabulus,2025-01-16,420.125
euphrates_border_jarabulus,2025-01-17,419.75
euphrates_border_jarabulus,2025-01-18,419.671875
euphrates_border_jarabulus,2025-01-19,418.71875
euphrates_border_jarabulus,2025-01-20,418.25
euphrates_border_jarabulus,2025-01-21,417.609375
euphrates_border_jarabulus,2025-01-22,417.421875
euphrates_border_jarabulus,2025-01-23,418.671875
euphrates_border_jarabulus,2025-01-24,420.8125
euphrates_border_jarabulus,2025-01-25,421.734375
euphrates_border_jarabulus,2025-01-26,420.59375
euphrates_border_jarabulus,2025-01-27,419.671875
euphrates_border_jarabulus,2025-01-28,419.125
euphrates_border_jarabulus,2025-01-29,418.46875
euphrates_border_jarabulus,2025-01-30,417.953125
euphrates_border_jarabulus,2025-01-31,417.890625
euphrates_border_jarabulus,2025-02-01,417.890625
euphrates_border_jarabulus,2025-02-02,417.75
euphrates_border_jarabulus,2025-02-03,417.28125
euphrates_border_jarabulus,2025-02-04,417.40625
euphrates_border_jarabulus,2025-02-05,417.71875
euphrates_border_jarabulus,2025-02-06,419.828125
euphrates_border_jarabulus,2025-02-07,423.9375
euphrates_border_jarabulus,2025-02-08,432.046875
euphrates_border_jarabulus,2025-02-09,489.03125
euphrates_border_jarabulus,2025-02-10,502.578125
euphrates_border_jarabulus,2025-02-11,506.4375
euphrates_border_jarabulus,2025-02-12,644.5625
euphrates_border_jarabulus,2025-02-13,840.796875
euphrates_border_jarabulus,2025-02-14,995.3125
euphrates_border_jarabulus,2025-02-15,873.25
euphrates_border_jarabulus,2025-02-16,710.328125
euphrates_border_jarabulus,2025-02-17,647.46875
euphrates_border_jarabulus,2025-02-18,609.5
euphrates_border_jarabulus,2025-02-19,505.765625
euphrates_border_jarabulus,2025-02-20,538.34375
euphrates_border_jarabulus,2025-02-21,684.609375
euphrates_border_jarabulus,2025-02-22,647.5625
euphrates_border_jarabulus,2025-02-23,620.25
euphrates_border_jarabulus,2025-02-24,590.46875
euphrates_border_jarabulus,2025-02-25,483.09375
euphrates_border_jarabulus,2025-02-26,437.125
euphrates_border_jarabulus,2025-02-27,428.34375
euphrates_border_jarabulus,2025-02-28,425.78125
euphrates_border_jarabulus,2025-03-01,423.90625
euphrates_border_jarabulus,2025-03-02,422.40625
euphrates_border_jarabulus,2025-03-03,420.5
euphrates_border_jarabulus,2025-03-04,421.5625
euphrates_border_jarabulus,2025-03-05,425.4375
euphrates_border_jarabulus,2025-03-06,421.15625
euphrates_border_jarabulus,2025-03-07,422.21875
euphrates_border_jarabulus,2025-03-08,427.0
euphrates_border_jarabulus,2025-03-09,434.375
euphrates_border_jarabulus,2025-03-10,497.40625
euphrates_border_jarabulus,2025-03-11,568.59375
euphrates_border_jarabulus,2025-03-12,581.375
euphrates_border_jarabulus,2025-03-13,585.8125
euphrates_border_jarabulus,2025-03-14,598.71875
euphrates_border_jarabulus,2025-03-15,608.375
euphrates_border_jarabulus,2025-03-16,605.0625
euphrates_border_jarabulus,2025-03-17,598.09375
euphrates_border_jarabulus,2025-03-18,591.59375
euphrates_border_jarabulus,2025-03-19,583.1875
euphrates_border_jarabulus,2025-03-20,664.75
euphrates_border_jarabulus,2025-03-21,803.625
euphrates_border_jarabulus,2025-03-22,754.78125
euphrates_border_jarabulus,2025-03-23,662.28125
euphrates_border_jarabulus,2025-03-24,629.65625
euphrates_border_jarabulus,2025-03-25,604.40625
euphrates_border_jarabulus,2025-03-26,493.5
euphrates_border_jarabulus,2025-03-27,430.96875
euphrates_border_jarabulus,2025-03-28,422.21875
euphrates_border_jarabulus,2025-03-29,419.4375
euphrates_border_jarabulus,2025-03-30,414.59375
euphrates_border_jarabulus,2025-03-31,1127.71875
euphrates_border_jarabulus,2025-04-01,1187.46875
euphrates_border_jarabulus,2025-04-02,905.78125
euphrates_border_jarabulus,2025-04-03,899.46875
euphrates_border_jarabulus,2025-04-04,938.625
euphrates_border_jarabulus,2025-04-05,861.375
euphrates_border_jarabulus,2025-04-06,765.3125
euphrates_border_jarabulus,2025-04-07,701.28125
euphrates_border_jarabulus,2025-04-08,624.96875
euphrates_border_jarabulus,2025-04-09,496.1875
euphrates_border_jarabulus,2025-04-10,443.90625
euphrates_border_jarabulus,2025-04-11,427.5
euphrates_border_jarabulus,2025-04-12,565.9375
euphrates_border_jarabulus,2025-04-13,765.5625
euphrates_border_jarabulus,2025-04-14,714.71875
euphrates_border_jarabulus,2025-04-15,696.625
euphrates_border_jarabulus,2025-04-16,714.9375
euphrates_border_jarabulus,2025-04-17,678.0625
euphrates_border_jarabulus,2025-04-18,576.65625
euphrates_border_jarabulus,2025-04-19,471.4375
euphrates_border_jarabulus,2025-04-20,452.0625
euphrates_border_jarabulus,2025-04-21,434.90625
euphrates_border_jarabulus,2025-04-22,422.40625
euphrates_border_jarabulus,2025-04-23,416.78125
euphrates_border_jarabulus,2025-04-24,415.9375
euphrates_border_jarabulus,2025-04-25,414.34375
euphrates_border_jarabulus,2025-04-26,414.78125
euphrates_border_jarabulus,2025-04-27,460.46875
euphrates_border_jarabulus,2025-04-28,564.9375
euphrates_border_jarabulus,2025-04-29,475.375
euphrates_border_jarabulus,2025-04-30,421.96875
euphrates_border_jarabulus,2025-05-01,427.71875
euphrates_border_jarabulus,2025-05-02,453.40625
euphrates_border_jarabulus,2025-05-03,554.125
euphrates_border_jarabulus,2025-05-04,672.53125
euphrates_border_jarabulus,2025-05-05,658.84375
euphrates_border_jarabulus,2025-05-06,644.75
euphrates_border_jarabulus,2025-05-07,557.75
euphrates_border_jarabulus,2025-05-08,443.375
euphrates_border_jarabulus,2025-05-09,417.6875
euphrates_border_jarabulus,2025-05-10,412.90625
euphrates_border_jarabulus,2025-05-11,409.8125
euphrates_border_jarabulus,2025-05-12,409.40625
euphrates_border_jarabulus,2025-05-13,407.4375
euphrates_border_jarabulus,2025-05-14,437.59375
euphrates_border_jarabulus,2025-05-15,528.625
euphrates_border_jarabulus,2025-05-16,595.15625
euphrates_border_jarabulus,2025-05-17,475.96875
euphrates_border_jarabulus,2025-05-18,421.09375
euphrates_border_jarabulus,2025-05-19,413.15625
euphrates_border_jarabulus,2025-05-20,405.375
euphrates_border_jarabulus,2025-05-21,405.53125
euphrates_border_jarabulus,2025-05-22,406.75
euphrates_border_jarabulus,2025-05-23,407.03125
euphrates_border_jarabulus,2025-05-24,408.25
euphrates_border_jarabulus,2025-05-25,404.90625
euphrates_border_jarabulus,2025-05-26,400.1875
euphrates_border_jarabulus,2025-05-27,401.71875
euphrates_border_jarabulus,2025-05-28,406.8125
euphrates_border_jarabulus,2025-05-29,402.875
euphrates_border_jarabulus,2025-05-30,403.5625
euphrates_border_jarabulus,2025-05-31,405.40625
euphrates_border_jarabulus,2025-06-01,407.0
euphrates_border_jarabulus,2025-06-02,408.15625
euphrates_border_jarabulus,2025-06-03,404.8125
euphrates_border_jarabulus,2025-06-04,404.40625
euphrates_border_jarabulus,2025-06-05,403.6875
euphrates_border_jarabulus,2025-06-06,402.59375
euphrates_border_jarabulus,2025-06-07,404.46875
euphrates_border_jarabulus,2025-06-08,404.6875
euphrates_border_jarabulus,2025-06-09,404.8125
euphrates_border_jarabulus,2025-06-10,406.90625
euphrates_border_jarabulus,2025-06-11,406.8125
euphrates_border_jarabulus,2025-06-12,407.03125
euphrates_border_jarabulus,2025-06-13,407.8125
euphrates_border_jarabulus,2025-06-14,407.46875
euphrates_border_jarabulus,2025-06-15,404.5625
euphrates_border_jarabulus,2025-06-16,402.84375
euphrates_border_jarabulus,2025-06-17,402.46875
euphrates_border_jarabulus,2025-06-18,401.5625
euphrates_border_jarabulus,2025-06-19,401.8125
euphrates_border_jarabulus,2025-06-20,404.28125
euphrates_border_jarabulus,2025-06-21,404.125
euphrates_border_jarabulus,2025-06-22,401.03125
euphrates_border_jarabulus,2025-06-23,400.25
euphrates_border_jarabulus,2025-06-24,401.984375
euphrates_border_jarabulus,2025-06-25,401.453125
euphrates_border_jarabulus,2025-06-26,402.5625
euphrates_border_jarabulus,2025-06-27,402.296875
euphrates_border_jarabulus,2025-06-28,401.765625
euphrates_border_jarabulus,2025-06-29,401.25
euphrates_border_jarabulus,2025-06-30,401.203125
euphrates_border_jarabulus,2025-07-01,398.59375
euphrates_below_tabqa,2025-01-02,782.234375
euphrates_below_tabqa,2025-01-03,754.1484375
euphrates_below_tabqa,2025-01-04,675.453125
euphrates_below_tabqa,2025-01-05,614.34375
euphrates_below_tabqa,2025-01-06,540.203125
euphrates_below_tabqa,2025-01-07,474.515625
euphrates_below_tabqa,2025-01-08,440.921875
euphrates_below_tabqa,2025-01-09,428.53125
euphrates_below_tabqa,2025-01-10,423.59375
euphrates_below_tabqa,2025-01-11,420.8125
euphrates_below_tabqa,2025-01-12,418.0625
euphrates_below_tabqa,2025-01-13,415.90625
euphrates_below_tabqa,2025-01-14,415.078125
euphrates_below_tabqa,2025-01-15,414.625
euphrates_below_tabqa,2025-01-16,413.71875
euphrates_below_tabqa,2025-01-17,412.046875
euphrates_below_tabqa,2025-01-18,411.265625
euphrates_below_tabqa,2025-01-19,410.421875
euphrates_below_tabqa,2025-01-20,408.578125
euphrates_below_tabqa,2025-01-21,405.921875
euphrates_below_tabqa,2025-01-22,404.3125
euphrates_below_tabqa,2025-01-23,405.203125
euphrates_below_tabqa,2025-01-24,406.421875
euphrates_below_tabqa,2025-01-25,407.984375
euphrates_below_tabqa,2025-01-26,411.546875
euphrates_below_tabqa,2025-01-27,414.21875
euphrates_below_tabqa,2025-01-28,413.78125
euphrates_below_tabqa,2025-01-29,411.796875
euphrates_below_tabqa,2025-01-30,410.171875
euphrates_below_tabqa,2025-01-31,409.203125
euphrates_below_tabqa,2025-02-01,408.671875
euphrates_below_tabqa,2025-02-02,408.453125
euphrates_below_tabqa,2025-02-03,406.875
euphrates_below_tabqa,2025-02-04,405.234375
euphrates_below_tabqa,2025-02-05,405.765625
euphrates_below_tabqa,2025-02-06,407.546875
euphrates_below_tabqa,2025-02-07,414.125
euphrates_below_tabqa,2025-02-08,422.703125
euphrates_below_tabqa,2025-02-09,427.75
euphrates_below_tabqa,2025-02-10,439.84375
euphrates_below_tabqa,2025-02-11,471.140625
euphrates_below_tabqa,2025-02-12,496.640625
euphrates_below_tabqa,2025-02-13,540.171875
euphrates_below_tabqa,2025-02-14,695.78125
euphrates_below_tabqa,2025-02-15,894.0
euphrates_below_tabqa,2025-02-16,935.609375
euphrates_below_tabqa,2025-02-17,807.703125
euphrates_below_tabqa,2025-02-18,698.875
euphrates_below_tabqa,2025-02-19,637.640625
euphrates_below_tabqa,2025-02-20,582.28125
euphrates_below_tabqa,2025-02-21,522.875
euphrates_below_tabqa,2025-02-22,563.875
euphrates_below_tabqa,2025-02-23,636.28125
euphrates_below_tabqa,2025-02-24,630.625
euphrates_below_tabqa,2025-02-25,605.1875
euphrates_below_tabqa,2025-02-26,558.21875
euphrates_below_tabqa,2025-02-27,488.0625
euphrates_below_tabqa,2025-02-28,440.03125
euphrates_below_tabqa,2025-03-01,420.75
euphrates_below_tabqa,2025-03-02,414.53125
euphrates_below_tabqa,2025-03-03,410.75
euphrates_below_tabqa,2025-03-04,408.21875
euphrates_below_tabqa,2025-03-05,405.03125
euphrates_below_tabqa,2025-03-06,399.53125
euphrates_below_tabqa,2025-03-07,397.5
euphrates_below_tabqa,2025-03-08,399.5
euphrates_below_tabqa,2025-03-09,401.25
euphrates_below_tabqa,2025-03-10,403.65625
euphrates_below_tabqa,2025-03-11,418.59375
euphrates_below_tabqa,2025-03-12,472.5625
euphrates_below_tabqa,2025-03-13,531.40625
euphrates_below_tabqa,2025-03-14,555.34375
euphrates_below_tabqa,2025-03-15,566.28125
euphrates_below_tabqa,2025-03-16,577.78125
euphrates_below_tabqa,2025-03-17,581.0625
euphrates_below_tabqa,2025-03-18,577.71875
euphrates_below_tabqa,2025-03-19,575.65625
euphrates_below_tabqa,2025-03-20,569.90625
euphrates_below_tabqa,2025-03-21,598.75
euphrates_below_tabqa,2025-03-22,671.9375
euphrates_below_tabqa,2025-03-23,719.25
euphrates_below_tabqa,2025-03-24,689.46875
euphrates_below_tabqa,2025-03-25,638.78125
euphrates_below_tabqa,2025-03-26,599.34375
euphrates_below_tabqa,2025-03-27,549.03125
euphrates_below_tabqa,2025-03-28,472.625
euphrates_below_tabqa,2025-03-29,415.59375
euphrates_below_tabqa,2025-03-30,385.34375
euphrates_below_tabqa,2025-03-31,385.96875
euphrates_below_tabqa,2025-04-01,724.21875
euphrates_below_tabqa,2025-04-02,1129.9375
euphrates_below_tabqa,2025-04-03,933.40625
euphrates_below_tabqa,2025-04-04,880.90625
euphrates_below_tabqa,2025-04-05,894.9375
euphrates_below_tabqa,2025-04-06,883.96875
euphrates_below_tabqa,2025-04-07,803.15625
euphrates_below_tabqa,2025-04-08,718.6875
euphrates_below_tabqa,2025-04-09,656.78125
euphrates_below_tabqa,2025-04-10,570.6875
euphrates_below_tabqa,2025-04-11,474.53125
euphrates_below_tabqa,2025-04-12,411.6875
euphrates_below_tabqa,2025-04-13,410.65625
euphrates_below_tabqa,2025-04-14,554.4375
euphrates_below_tabqa,2025-04-15,691.6875
euphrates_below_tabqa,2025-04-16,698.125
euphrates_below_tabqa,2025-04-17,692.09375
euphrates_below_tabqa,2025-04-18,682.0
euphrates_below_tabqa,2025-04-19,631.53125
euphrates_below_tabqa,2025-04-20,537.09375
euphrates_below_tabqa,2025-04-21,453.6875
euphrates_below_tabqa,2025-04-22,408.0
euphrates_below_tabqa,2025-04-23,383.0625
euphrates_below_tabqa,2025-04-24,372.28125
euphrates_below_tabqa,2025-04-25,370.84375
euphrates_below_tabqa,2025-04-26,369.90625
euphrates_below_tabqa,2025-04-27,368.6875
euphrates_below_tabqa,2025-04-28,374.6875
euphrates_below_tabqa,2025-04-29,420.5
euphrates_below_tabqa,2025-04-30,472.78125
euphrates_below_tabqa,2025-05-01,442.53125
euphrates_below_tabqa,2025-05-02,403.875
euphrates_below_tabqa,2025-05-03,396.125
euphrates_below_tabqa,2025-05-04,422.53125
euphrates_below_tabqa,2025-05-05,517.875
euphrates_below_tabqa,2025-05-06,600.96875
euphrates_below_tabqa,2025-05-07,605.5
euphrates_below_tabqa,2025-05-08,570.3125
euphrates_below_tabqa,2025-05-09,490.375
euphrates_below_tabqa,2025-05-10,410.46875
euphrates_below_tabqa,2025-05-11,367.84375
euphrates_below_tabqa,2025-05-12,353.59375
euphrates_below_tabqa,2025-05-13,351.9375
euphrates_below_tabqa,2025-05-14,352.25
euphrates_below_tabqa,2025-05-15,356.0625
euphrates_below_tabqa,2025-05-16,388.0625
euphrates_below_tabqa,2025-05-17,462.53125
euphrates_below_tabqa,2025-05-18,496.5
euphrates_below_tabqa,2025-05-19,440.03125
euphrates_below_tabqa,2025-05-20,378.5625
